"","movie","director","spectator","point","genre","release","limit"
"1","도둑들","최동훈","12983976",7.61,"범죄, 액션, 드라마",2012-07-25,"15세 관람가"
"2","광해, 왕이 된 남자","추창민","12324002",9.24,"드라마",2012-09-13,"15세 관람가"
"3","어벤져스","조스 웨던","7075607",8.8,"액션, SF, 모험",2012-04-26,"12세 관람가"
"4","늑대소년","조성희","7069353",8.64,"멜로/로맨스, 드라마",2012-10-31,"15세 관람가"
"5","다크 나이트 라이즈","크리스토퍼 놀란","6399304",9.02,"액션, 범죄, 스릴러",2012-07-19,"15세 관람가"
"6","레미제라블","톰 후퍼","5921376",8.35,"드라마",2012-12-19,"12세 관람가"
"7","타워","김지훈","5181228",8.03,"드라마",2012-12-25,"12세 관람가"
"8","바람과 함께 사라지다","김주호","4909944",7.59,"코미디, 액션",2012-08-08,"12세 관람가"
"9","어메이징 스파이더맨","마크 웹","4853273",7.74,"액션, 모험, 스릴러",2012-06-28,"12세 관람가"
"10","범죄와의 전쟁 : 나쁜놈들 전성시대","윤종빈","4720050",8.62,"범죄, 드라마",2012-02-02,"청소년 관람불가"
"11","내 아내의 모든 것","민규동","4598985",8.56,"멜로/로맨스, 코미디",2012-05-17,"15세 관람가"
"12","연가시","박정우","4516063",7.19,"드라마, 모험",2012-07-05,"15세 관람가"
"13","건축학개론","이용주","4113457",8.65,"멜로/로맨스",2012-03-22,"12세 관람가"
"14","댄싱퀸","이석훈","4058225",8.87,"코미디, 드라마",2012-01-18,"12세 관람가"
"15","부러진 화살","정지영","3460212",8.92,"드라마",2012-01-18,"15세 관람가"
"16","맨 인 블랙 3","베리 소넨필드","3379764",8.18,"액션, 코미디, SF",2012-05-24,"12세 관람가"
"17","26년","조근현","2963652",6.38,"액션",2012-11-29,"15세 관람가"
"18","호빗 : 뜻밖의 여정","피터 잭슨","2818993",8.41,"판타지, 모험",2012-12-13,"12세 관람가"
"19","내가 살인범이다","정병길","2729830",8.48,"액션, 스릴러",2012-11-08,"청소년 관람불가"
"20","브레이킹 던 part2","빌 콘돈","2654817",8.72,"드라마, 판타지",2012-11-15,"15세 관람가"
"21","후궁 : 제왕의 첩","김대승","2636385",6.85,"멜로/로맨스, 드라마",2012-06-06,"청소년 관람불가"
"22","반창꼬","정기훈","2475797",8.57,"드라마, 멜로/로맨스",2012-12-19,"15세 관람가"
"23","화차","변영주","2436884",7.99,"미스터리",2012-03-08,"15세 관람가"
"24","이웃사람","김휘","2434435",7.52,"스릴러",2012-08-22,"청소년 관람불가"
"25","007 스카이폴","샘 멘데스","2376266",7.87,"액션",2012-10-26,"15세 관람가"
"26","테이큰 2","올리비에 메가턴","2308646",6.99,"액션, 범죄, 드라마",2012-09-27,"청소년 관람불가"
"27","배틀쉽","피터 버그","2241687",7.43,"액션, 전쟁, SF",2012-04-11,"12세 관람가"
"28","장화신은 고양이","크리스 밀러","2080445",8.4,"애니메이션, 모험",2012-01-12,"전체 관람가"
"29","코리아","문현성","1872682",8.54,"드라마",2012-05-03,"12세 관람가"
"30","나의 PS 파트너","변성현","1831741",8.23,"멜로/로맨스, 코미디",2012-12-06,"청소년 관람불가"
"31","러브픽션","전계수","1726227",6.71,"멜로/로맨스, 코미디",2012-02-29,"15세 관람가"
"32","언터처블: 1%의 우정","올리비에르 나카체","1721611",9.34,"코미디, 드라마",2012-03-22,"12세 관람가"
"33","아이스 에이지 4: 대륙 이동설","스티브 마티노","1648110",8.23,"애니메이션, 모험",2012-07-25,"전체 관람가"
"34","공모자들","김홍선","1646142",7.02,"범죄, 스릴러",2012-08-29,"청소년 관람불가"
"35","마다가스카3 : 이번엔 서커스다!","에릭 다넬","1635088",9.02,"애니메이션, 모험",2012-06-06,"전체 관람가"
"36","하울링","유하","1612554",6.78,"범죄, 드라마",2012-02-16,"15세 관람가"
"37","용의자X","방은진","1552055",7.64,"미스터리",2012-10-18,"15세 관람가"
"38","새미의 어드벤쳐 2","벤 스타센","1457406",8.63,"애니메이션, 모험",2012-08-01,"전체 관람가"
"39","차형사","신태라","1346754",7.46,"코미디",2012-05-30,"15세 관람가"
"40","은교","정지우","1346511",7.09,"멜로/로맨스",2012-04-25,"청소년 관람불가"
"41","간첩","우민호","1310895",7.18,"드라마, 코미디, 액션",2012-09-20,"15세 관람가"
"42","간기남","김형준","1246185",6.9,"스릴러, 코미디",2012-04-11,"청소년 관람불가"
"43","메리다와 마법의 숲","마크 앤드류스","1231261",7.61,"애니메이션, 판타지",2012-09-27,"전체 관람가"
"44","토탈 리콜","렌 와이즈먼","1219637",7.28,"액션, SF",2012-08-15,"15세 관람가"
"45","알투비:리턴투베이스","김동원","1201944",7.51,"액션, 드라마",2012-08-15,"15세 관람가"
"46","돈의 맛","임상수","1166025",6.77,"드라마",2012-05-17,"청소년 관람불가"
"47","가문의 영광5-가문의 귀환","정용기","1160021",6.05,"코미디",2012-12-19,"15세 관람가"
"48","잃어버린 세계를 찾아서 2 : 신비의 섬","브래드 페이튼","1149628",7.1,"액션, 모험",2012-01-19,"전체 관람가"
"49","회사원","임상윤","1110523",6.47,"액션, 드라마",2012-10-11,"청소년 관람불가"
"50","가디언즈","피터 램지","1081096",9.16,"애니메이션, 모험",2012-11-29,"전체 관람가"
"51","점박이 : 한반도의 공룡3D","한상호","1051710",7.61,"애니메이션",2012-01-26,"전체 관람가"
"52","본 레거시","토니 길로이","1015832",7.1,"액션, 모험, 스릴러",2012-09-06,"15세 관람가"
"53","시체가 돌아왔다","우선호","986923",7.41,"범죄, 코미디",2012-03-29,"15세 관람가"
"54","원더풀 라디오","권칠인","986287",7.59,"드라마",2012-01-05,"15세 관람가"
"55","돈 크라이 마미","김용한","975462",6.43,"스릴러, 드라마",2012-11-22,"15세 관람가"
"56","프로메테우스","리들리 스콧","971482",7.73,"SF, 스릴러",2012-06-06,"청소년 관람불가"
"57","스텝업4 : 레볼루션","스콧 스피어","953871",8.78,"멜로/로맨스, 드라마",2012-08-15,"12세 관람가"
"58","점쟁이들","신정원","953682",5.81,"코미디, 공포",2012-10-03,"15세 관람가"
"59","주먹왕 랄프","리치 무어","919202",9.33,"애니메이션, 코미디",2012-12-19,"전체 관람가"
"60","타이탄의 분노","조나단 리브스만","893027",6.85,"액션, 판타지",2012-03-29,"12세 관람가"
"61","디스 민즈 워","맥지","873396",8.2,"액션, 멜로/로맨스",2012-02-29,"15세 관람가"
"62","미확인 동영상 : 절대클릭금지","김태경","867386",6.16,"공포, 스릴러",2012-05-30,"15세 관람가"
"63","존 카터: 바숨 전쟁의 서막","앤드류 스탠튼","838126",7.54,"SF, 액션",2012-03-08,"12세 관람가"
"64","나는 왕이로소이다","장규성","790181",7.42,"드라마, 코미디",2012-08-08,"12세 관람가"
"65","토르 : 마법망치의 전설","오스카 요나손","768658",5.64,"애니메이션, 모험",2012-02-09,"전체 관람가"
"66","스노우 화이트 앤 더 헌츠맨","루퍼트 샌더스","636631",7.43,"판타지, 액션, 모험",2012-05-30,"12세 관람가"
"67","미쓰GO","박철관","611685",5.13,"코미디, 액션",2012-06-21,"15세 관람가"
"68","헝거게임 : 판엠의 불꽃","게리 로스","608273",7.19,"판타지, 액션, 드라마",2012-04-05,"15세 관람가"
"69","피에타","김기덕","603283",7.81,"드라마",2012-09-06,"청소년 관람불가"
"70","맨 온 렛지","애스게르 레스","591841",7.29,"스릴러, 범죄",2012-02-22,"15세 관람가"
"71","파파","한지승","587291",8.12,"코미디",2012-02-01,"12세 관람가"
"72","백설공주","타셈 싱","585698",7.47,"드라마, 판타지",2012-05-03,"전체 관람가"
"73","다크 섀도우","팀 버튼","582126",5.84,"멜로/로맨스, 공포",2012-05-10,"15세 관람가"
"74","루퍼","라이언 존슨","571922",8,"SF, 액션",2012-10-11,"청소년 관람불가"
"75","레지던트 이블 5 : 최후의 심판 3D","폴 앤더슨","558443",5.85,"액션, SF, 공포",2012-09-13,"청소년 관람불가"
"76","명탐정 코난: 11번째 스트라이커","시즈노 코분","525169",8.62,"애니메이션",2012-07-19,"12세 관람가"
"77","아부의 왕","정승구","497880",5.65,"코미디",2012-06-21,"15세 관람가"
"78","잠베지아: 신비한 나무섬의 비밀","웨인 쏜리","472692",8.69,"애니메이션, 모험",2012-12-25,"전체 관람가"
"79","페이스 메이커","김달중","467697",8.84,"드라마",2012-01-18,"12세 관람가"
"80","락아웃: 익스트림미션","제임스 매더","462176",6.47,"SF, 액션, 스릴러",2012-06-14,"15세 관람가"
"81","익스펜더블 2","사이먼 웨스트","444456",7.7,"액션, 모험, 스릴러",2012-09-06,"15세 관람가"
"82","밀레니엄 : 여자를 증오한 남자들","데이빗 핀처","443855",8.06,"스릴러, 드라마",2012-01-11,"청소년 관람불가"
"83","두 개의 달","김동빈","426706",7,"미스터리, 공포",2012-07-12,"15세 관람가"
"84","니코: 산타비행단의 모험","캐리 주스넌","407448",8.47,"애니메이션, 모험",2012-12-25,"전체 관람가"
"85","크로니클","조쉬 트랭크","384398",7.6,"드라마, SF, 액션",2012-03-15,"15세 관람가"
"86","미드나잇 인 파리","우디 앨런","376650",9.05,"코미디, 멜로/로맨스",2012-07-05,"15세 관람가"
"87","극장판 포켓몬스터 베스트위시 : 큐레무 VS 성검사 케르디오","유야마 쿠니히코","348991",8.12,"애니메이션, 모험",2012-12-19,"전체 관람가"
"88","링컨 : 뱀파이어 헌터","티무르 베크맘베토브","345175",6.79,"액션, 스릴러, 공포",2012-08-30,"청소년 관람불가"
"89","늑대아이","호소다 마모루","339852",9.11,"애니메이션, 판타지",2012-09-13,"전체 관람가"
"90","음치클리닉","김진영","338168",6.9,"멜로/로맨스, 코미디",2012-11-29,"12세 관람가"
"91","남영동1985","정지영","332643",7.21,"드라마",2012-11-22,"15세 관람가"
"92","무서운 이야기","정범식, 임대웅, 홍지영","331760",6.68,"공포",2012-07-25,"청소년 관람불가"
"93","모모와 다락방의 수상한 요괴들","오키우라 히로유키","300333",8.09,"애니메이션, 가족",2012-07-05,"전체 관람가"
"94","빌리와 용감한 녀석들 3D","라인하드 클루스","299691",7.16,"애니메이션, 가족",2012-08-08,"전체 관람가"
"95","로렉스","크리스 리노드","298780",8.54,"애니메이션, 가족",2012-05-03,"전체 관람가"
"96","위험한 관계","허진호","298086",8,"멜로/로맨스, 드라마",2012-10-11,"청소년 관람불가"
"97","더 그레이","조 카나한","292267",7.63,"액션, 드라마",2012-02-16,"15세 관람가"
"98","메로엣타 반짝반짝 리사이틀","유야마 쿠니히코","287975",0,"애니메이션",2012-12-19,"전체 관람가"
"99","네버엔딩 스토리","정용주","283449",7.42,"멜로/로맨스, 코미디",2012-01-18,"15세 관람가"
"100","우리는 동물원을 샀다","카메론 크로우","276334",8.89,"가족, 코미디",2012-01-18,"전체 관람가"
"101","7번방의 선물","이환경","12811435",8.83,"코미디",2013-01-23,"15세 관람가"
"102","변호인","양우석","11374892",9.29,"드라마",2013-12-18,"15세 관람가"
"103","설국열차","봉준호","9351214",7.98,"SF, 액션, 드라마",2013-08-01,"15세 관람가"
"104","관상","한재림","9135806",7.99,"드라마",2013-09-11,"15세 관람가"
"105","아이언맨 3","셰인 블랙","9001679",8.86,"SF, 액션, 모험",2013-04-25,"12세 관람가"
"106","베를린","류승완","7166688",7.82,"액션, 드라마",2013-01-30,"15세 관람가"
"107","은밀하게 위대하게","장철수","6959083",7.11,"액션, 드라마, 코미디",2013-06-05,"15세 관람가"
"108","숨바꼭질","허정","5604106",6.8,"스릴러",2013-08-14,"15세 관람가"
"109","더 테러 라이브","김병우","5584295",8.27,"스릴러, 드라마",2013-07-31,"15세 관람가"
"110","감시자들","조의석","5509019",7.76,"범죄, 액션, 스릴러",2013-07-03,"15세 관람가"
"111","월드워Z","마크 포스터","5237525",8.21,"드라마, 스릴러, SF",2013-06-20,"15세 관람가"
"112","신세계","박훈정","4682614",8.91,"범죄, 드라마",2013-02-21,"청소년 관람불가"
"113","용의자","원신연","4131963",8.27,"액션, 드라마",2013-12-24,"15세 관람가"
"114","박수건달","조진규","3897969",8.09,"코미디",2013-01-09,"15세 관람가"
"115","스파이","이승준","3436092",6.96,"코미디, 액션",2013-09-05,"15세 관람가"
"116","어바웃 타임","리차드 커티스","3396391",9.22,"멜로/로맨스, 코미디",2013-12-05,"15세 관람가"
"117","그래비티","알폰소 쿠아론","3280151",9.12,"SF, 드라마",2013-10-17,"12세 관람가"
"118","감기","김성수","3117859",7.04,"드라마, 모험, 액션",2013-08-14,"15세 관람가"
"119","토르: 다크 월드","앨런 테일러","3040115",8.36,"액션, 모험, 판타지",2013-10-30,"12세 관람가"
"120","레드: 더 레전드","딘 패리소트","3004649",8.01,"액션, 코미디, 범죄",2013-07-18,"15세 관람가"
"121","친구2","곽경택","2971475",6.21,"느와르, 액션",2013-11-14,"청소년 관람불가"
"122","나우 유 씨 미 : 마술사기단","루이스 리터리어","2718237",8.04,"범죄, 스릴러",2013-08-22,"12세 관람가"
"123","소원","이준익","2711094",9.32,"드라마",2013-10-02,"12세 관람가"
"124","퍼시픽 림","길예르모 델 토로","2539115",7.66,"액션, SF, 모험",2013-07-11,"12세 관람가"
"125","화이 : 괴물을 삼킨 아이","장준환","2394487",7.83,"액션, 스릴러",2013-10-09,"청소년 관람불가"
"126","호빗 : 스마우그의 폐허","피터 잭슨","2282807",9.06,"판타지, 모험, 드라마",2013-12-12,"12세 관람가"
"127","컨저링","제임스 완","2262758",7.85,"공포, 스릴러",2013-09-17,"15세 관람가"
"128","맨 오브 스틸","잭 스나이더","2182227",7.89,"액션, 모험, 판타지",2013-06-13,"12세 관람가"
"129","몽타주","정근섭","2095592",8.54,"스릴러, 드라마",2013-05-16,"15세 관람가"
"130","터보","데이빗 소렌","1925154",9.04,"애니메이션",2013-07-25,"전체 관람가"
"131","연애의 온도","노덕","1865354",7.44,"멜로/로맨스",2013-03-21,"청소년 관람불가"
"132","지.아이.조 2","존 추","1855917",7.07,"액션, 모험, SF",2013-03-28,"15세 관람가"
"133","집으로 가는 길","방은진","1854711",8.81,"드라마",2013-12-11,"15세 관람가"
"134","분노의 질주: 더 맥시멈","저스틴 린","1790491",8.81,"액션, 모험, 범죄",2013-05-22,"15세 관람가"
"135","공범","국동석","1766285",7.16,"스릴러",2013-10-24,"15세 관람가"
"136","전설의 주먹","강우석","1744585",7.56,"액션, 드라마",2013-04-10,"청소년 관람불가"
"137","파파로티","윤종찬","1716438",8.25,"드라마",2013-03-14,"15세 관람가"
"138","라이프 오브 파이","이안","1634734",9.53,"모험, 드라마, 판타지",2013-01-01,"전체 관람가"
"139","스타트렉 다크니스","J.J. 에이브럼스","1607555",8.97,"액션, 모험, SF",2013-05-30,"12세 관람가"
"140","오블리비언","조셉 코신스키","1515356",8.24,"액션, SF",2013-04-11,"15세 관람가"
"141","위대한 개츠비","바즈 루어만","1445217",8.37,"드라마, 멜로/로맨스",2013-05-16,"15세 관람가"
"142","다이하드: 굿 데이 투 다이","존 무어","1438056",7.12,"액션, 범죄, 스릴러",2013-02-06,"15세 관람가"
"143","런닝맨","조동오","1422844",7.77,"액션, 코미디",2013-04-04,"15세 관람가"
"144","미스터 고","김용화","1329061",7.75,"드라마, 코미디, 액션",2013-07-17,"12세 관람가"
"145","결혼전야","홍지영","1214839",7.02,"멜로/로맨스, 코미디",2013-11-21,"15세 관람가"
"146","깡철이","안권태","1209363",6.96,"가족",2013-10-02,"15세 관람가"
"147","엘리시움","닐 블롬캠프","1207732",7.23,"SF, 액션, 드라마",2013-08-29,"청소년 관람불가"
"148","더 웹툰: 예고살인","김용균","1201033",7.22,"공포, 스릴러",2013-06-27,"15세 관람가"
"149","웜 바디스","조나단 레빈","1169839",8.52,"코미디, 공포",2013-03-14,"15세 관람가"
"150","고령화 가족","송해성","1141222",8.12,"드라마",2013-05-09,"15세 관람가"
"151","헝거게임: 캣칭 파이어","프란시스 로렌스","1127373",8.32,"판타지, 액션",2013-11-21,"15세 관람가"
"152","더 울버린","제임스 맨골드","1075333",6.11,"SF, 액션",2013-07-25,"15세 관람가"
"153","동창생","박홍수","1048280",7.3,"액션, 드라마",2013-11-06,"15세 관람가"
"154","에픽 : 숲속의 전설","크리스 웨지","978785",8.77,"애니메이션, 모험",2013-08-07,"전체 관람가"
"155","전국노래자랑","이종필","978413",8,"코미디",2013-05-01,"12세 관람가"
"156","슈퍼배드 2","피에르 꼬팽","963763",8.81,"애니메이션, 코미디",2013-09-12,"전체 관람가"
"157","월터의 상상은 현실이 된다","벤 스틸러","957127",8.8,"모험, 드라마, 판타지",2013-12-31,"12세 관람가"
"158","잭 더 자이언트 킬러","브라이언 싱어","956154",7.7,"모험, 드라마, 판타지",2013-02-28,"12세 관람가"
"159","크루즈 패밀리","커크 드 미코","943806",9.24,"애니메이션, 모험",2013-05-16,"전체 관람가"
"160","뽀로로 극장판 슈퍼썰매 대모험","박영균","931953",8.57,"애니메이션",2013-01-23,"전체 관람가"
"161","개구쟁이 스머프 2","라자 고스넬","921788",7.83,"애니메이션, 가족",2013-08-01,"전체 관람가"
"162","썬더와 마법저택","벤 스타센","904406",8.79,"애니메이션, 모험",2013-12-24,"전체 관람가"
"163","몬스터 호텔","젠디 타타코브스키","884988",8.24,"애니메이션, 가족",2013-01-17,"전체 관람가"
"164","열한시","김현석","870785",6.45,"스릴러",2013-11-28,"15세 관람가"
"165","몬스터 대학교","댄 스캔론","870759",8.75,"애니메이션, 모험",2013-09-12,"전체 관람가"
"166","남쪽으로 튀어","임순례","832894",7.8,"드라마, 코미디",2013-02-06,"15세 관람가"
"167","하늘에서 음식이 내린다면 2","코디 캐머런","800062",8.11,"애니메이션, 코미디",2013-11-21,"전체 관람가"
"168","잭 리처","크리스토퍼 맥쿼리","784031",7.26,"액션",2013-01-17,"15세 관람가"
"169","더 파이브","정연식","731212",6.22,"스릴러, 드라마",2013-11-14,"청소년 관람불가"
"170","엔더스 게임","개빈 후드","654480",7.16,"SF, 액션, 모험",2013-12-31,"12세 관람가"
"171","더 임파서블","후안 안토니오 바요나","625192",8.16,"드라마",2013-01-17,"12세 관람가"
"172","다이노소어 어드벤처 3D","닐 나이팅게일","600018",9,"애니메이션, 액션",2013-12-19,"전체 관람가"
"173","인시디어스: 두번째 집","제임스 완","577758",7.23,"공포, 스릴러",2013-12-05,"15세 관람가"
"174","섀도우 헌터스 : 뼈의 도시","해럴드 즈워트","571074",7.31,"판타지, 액션, 모험",2013-09-12,"15세 관람가"
"175","화이트 하우스 다운","롤랜드 에머리히","569500",7.42,"액션, 드라마",2013-06-27,"15세 관람가"
"176","애프터 어스","M. 나이트 샤말란","537920",6.85,"SF, 액션, 모험",2013-05-30,"12세 관람가"
"177","사이코메트리","권호영","534273",6.79,"미스터리",2013-03-07,"청소년 관람불가"
"178","퍼시잭슨과 괴물의 바다","쏘어 프류덴탈","519584",7.8,"모험, 가족, 판타지",2013-09-12,"12세 관람가"
"179","남자사용설명서","이원석","507913",6.9,"멜로/로맨스, 코미디",2013-02-14,"15세 관람가"
"180","무서운 이야기 2","김성호","495535",6.61,"공포",2013-06-05,"15세 관람가"
"181","캐치미","이현종","494126",6.64,"코미디, 멜로/로맨스",2013-12-18,"12세 관람가"
"182","클라우드 아틀라스","릴리 워쇼스키","453102",8.22,"SF, 액션",2013-01-09,"청소년 관람불가"
"183","노브레싱","조용선","451669",7.57,"드라마",2013-10-30,"15세 관람가"
"184","창수","이덕희","429141",7.11,"느와르",2013-11-28,"청소년 관람불가"
"185","명탐정 코난:수평선상의 음모","야마모토 야스이치로","389873",8.69,"애니메이션",2013-08-07,"12세 관람가"
"186","론 레인저","고어 버빈스키","388235",7.31,"액션, 모험",2013-07-04,"15세 관람가"
"187","스토커","박찬욱","379241",7.29,"스릴러",2013-02-28,"청소년 관람불가"
"188","오즈 그레이트 앤드 파워풀","샘 레이미","350563",7.16,"판타지, 모험, 액션",2013-03-07,"전체 관람가"
"189","미나문방구","정익환","334323",7.07,"드라마, 코미디",2013-05-16,"전체 관람가"
"190","차이니즈 조디악","성룡","315314",7.81,"모험, 액션",2013-02-27,"12세 관람가"
"191","빌리와 용감한 녀석들 2","닉힐 아드바니","306837",7.32,"애니메이션, 모험",2013-02-21,"전체 관람가"
"192","이스케이프 플랜","미카엘 하프스트롬","292893",8.35,"액션, 미스터리",2013-12-05,"청소년 관람불가"
"193","눈의 여왕","블라드 바르베, 막심 스베시니코프","277260",5.25,"애니메이션, 모험",2013-02-07,"전체 관람가"
"194","롤러코스터","하정우","270156",6.37,"코미디",2013-10-17,"15세 관람가"
"195","헨젤과 그레텔 : 마녀 사냥꾼","토미 위르콜라","269510",7.59,"액션, 판타지, 공포",2013-02-14,"청소년 관람불가"
"196","파이스토리 : 악당상어 소탕작전","마크 A.Z. 디페","267440",8.66,"애니메이션, 모험",2013-01-10,"전체 관람가"
"197","저스틴","마누엘 시실라","266475",7.85,"애니메이션, 모험",2013-12-31,"전체 관람가"
"198","장고:분노의 추적자","쿠엔틴 타란티노","260405",8.48,"드라마, 액션",2013-03-21,"청소년 관람불가"
"199","밤의 여왕","김제영","252475",6.88,"멜로/로맨스, 코미디",2013-10-17,"15세 관람가"
"200","캡틴 필립스","폴 그린그래스","242268",9.03,"드라마",2013-10-23,"15세 관람가"
"201","명량","김한민","17615437",8.87,"액션, 드라마",2014-07-30,"15세 관람가"
"202","국제시장","윤제균","14263203",9.16,"드라마",2014-12-17,"12세 관람가"
"203","인터스텔라","크리스토퍼 놀란","10309432",9.11,"SF",2014-11-06,"12세 관람가"
"204","겨울왕국","크리스 벅, 제니퍼 리","10296101",9.2,"애니메이션, 모험",2014-01-16,"전체 관람가"
"205","해적: 바다로 간 산적","이석훈","8666208",8.51,"모험, 액션",2014-08-06,"12세 관람가"
"206","수상한 그녀","황동혁","8659956",9.09,"코미디, 드라마",2014-01-22,"15세 관람가"
"207","트랜스포머: 사라진 시대","마이클 베이","5295929",7.44,"SF, 액션, 모험",2014-06-25,"12세 관람가"
"208","님아, 그 강을 건너지 마오","진모영","4802276",9.16,"다큐멘터리",2014-11-27,"전체 관람가"
"209","군도:민란의 시대","윤종빈","4775811",7.34,"액션",2014-07-23,"15세 관람가"
"210","엣지 오브 투모로우","더그 라이만","4697209",8.74,"액션, SF",2014-06-04,"12세 관람가"
"211","엑스맨: 데이즈 오브 퓨처 패스트","브라이언 싱어","4313446",8.76,"SF, 액션, 판타지",2014-05-22,"12세 관람가"
"212","어메이징 스파이더맨 2","마크 웹","4164946",8.06,"액션, 모험, 판타지",2014-04-23,"12세 관람가"
"213","타짜-신의 손","강형철","4015364",7.76,"드라마",2014-09-03,"청소년 관람불가"
"214","혹성탈출: 반격의 서막","맷 리브스","4002539",8.43,"액션, 드라마, SF",2014-07-10,"12세 관람가"
"215","캡틴 아메리카: 윈터 솔져","조 루소","3963964",8.83,"액션, 모험, SF",2014-03-26,"15세 관람가"
"216","역린","이재규","3849700",7.43,"드라마",2014-04-30,"15세 관람가"
"217","신의 한 수","조범구","3566844",8.4,"범죄, 액션",2014-07-03,"청소년 관람불가"
"218","끝까지 간다","김성훈","3450305",8.83,"범죄, 액션",2014-05-29,"15세 관람가"
"219","비긴 어게인","존 카니","3435729",9.13,"드라마, 멜로/로맨스",2014-08-13,"15세 관람가"
"220","드래곤 길들이기 2","딘 데블로이스","2999906",8.8,"애니메이션, 액션",2014-07-23,"전체 관람가"
"221","표적","창감독","2841884",8.06,"액션, 드라마",2014-04-30,"15세 관람가"
"222","호빗: 다섯 군대 전투","피터 잭슨","2836777",8.57,"판타지, 모험",2014-12-17,"12세 관람가"
"223","메이즈 러너","웨스 볼","2812429",8.38,"액션, 미스터리, SF",2014-09-18,"12세 관람가"
"224","기술자들","김홍선","2564340",7.91,"범죄, 액션",2014-12-24,"15세 관람가"
"225","나의 사랑 나의 신부","임찬상","2141155",8.39,"멜로/로맨스, 코미디",2014-10-08,"15세 관람가"
"226","논스톱","자움 콜렛 세라","2084457",8.3,"액션",2014-02-27,"15세 관람가"
"227","인투 더 스톰","스티븐 쿼일","2078825",8.26,"액션, 스릴러",2014-08-28,"12세 관람가"
"228","노아","대런 아로노프스키","2026574",6.56,"모험, 드라마, 판타지",2014-03-20,"15세 관람가"
"229","남자가 사랑할 때","한동욱","1980120",8.47,"드라마",2014-01-22,"15세 관람가"
"230","루시","뤽 베송","1974843",7.17,"액션",2014-09-03,"청소년 관람불가"
"231","나를 찾아줘","데이빗 핀처","1764233",8.3,"스릴러",2014-10-23,"청소년 관람불가"
"232","제보자","임순례","1755181",8.32,"드라마",2014-10-02,"12세 관람가"
"233","피끓는 청춘","이연우","1676040",7.54,"코미디, 멜로/로맨스",2014-01-22,"15세 관람가"
"234","마다가스카의 펭귄","에릭 다넬","1661388",8.67,"애니메이션, 모험",2014-12-31,"전체 관람가"
"235","두근두근 내 인생","이재용","1624573",7.51,"드라마",2014-09-03,"12세 관람가"
"236","우아한 거짓말","이한","1619871",8.23,"드라마",2014-03-13,"12세 관람가"
"237","300: 제국의 부활","노암 머로","1593116",7.55,"액션, 드라마, 전쟁",2014-03-06,"청소년 관람불가"
"238","엑소더스: 신들과 왕들","리들리 스콧","1511845",7.01,"드라마",2014-12-03,"12세 관람가"
"239","해무","심성보","1475091",7.25,"드라마",2014-08-13,"청소년 관람불가"
"240","인간중독","김대우","1441990",6.63,"드라마, 멜로/로맨스",2014-05-14,"청소년 관람불가"
"241","말레피센트","로버트 스트롬버그","1396899",8.39,"판타지, 모험, 드라마",2014-05-29,"12세 관람가"
"242","폼페이: 최후의 날","폴 앤더슨","1373888",7.32,"액션, 모험, 드라마",2014-02-20,"15세 관람가"
"243","퓨리","데이비드 에이어","1362105",8.55,"액션, 드라마, 전쟁",2014-11-20,"15세 관람가"
"244","가디언즈 오브 갤럭시","제임스 건","1344599",8.64,"액션, 모험, SF",2014-07-31,"12세 관람가"
"245","드라큘라: 전설의 시작","게리 쇼어","1321718",8.05,"판타지, 액션",2014-10-08,"15세 관람가"
"246","찌라시 : 위험한 소문","김광식","1221420",7.55,"드라마, 범죄",2014-02-20,"15세 관람가"
"247","빅매치","최호","1177435",7.82,"액션",2014-11-26,"15세 관람가"
"248","슬로우 비디오","김영탁","1169546",7.77,"드라마",2014-10-02,"12세 관람가"
"249","방황하는 칼날","이정호","989593",7.49,"스릴러, 범죄",2014-04-10,"청소년 관람불가"
"250","로보캅","호세 파딜라","979509",7.52,"액션, 범죄, SF",2014-02-13,"12세 관람가"
"251","우리는 형제입니다","장진","970377",7.67,"코미디, 가족",2014-10-23,"12세 관람가"
"252","애나벨","존 R. 레오네티","926107",7.1,"공포",2014-10-02,"15세 관람가"
"253","헝거게임:모킹제이","프란시스 로렌스","854407",7.33,"판타지, 액션",2014-11-20,"15세 관람가"
"254","그랜드 부다페스트 호텔","웨스 앤더슨","817299",8.7,"미스터리, 모험",2014-03-20,"15세 관람가"
"255","카트","부지영","814676",8.6,"드라마",2014-11-13,"12세 관람가"
"256","상의원","이원석","790370",7.79,"드라마",2014-12-24,"15세 관람가"
"257","관능의 법칙","권칠인","781516",7.64,"드라마, 코미디",2014-02-13,"청소년 관람불가"
"258","리오 2","카를로스 살다나","765961",7.95,"애니메이션, 모험",2014-05-01,"전체 관람가"
"259","안녕,헤이즐","조쉬 분","749146",8.48,"드라마, 멜로/로맨스",2014-08-13,"12세 관람가"
"260","고질라","가렛 에드워즈","709734",7.05,"액션",2014-05-15,"12세 관람가"
"261","트랜센던스","월리 피스터","696412",7.61,"액션, 드라마, SF",2014-05-14,"12세 관람가"
"262","플랜맨","성시흡","635744",8.67,"코미디",2014-01-09,"15세 관람가"
"263","눈의 여왕2: 트롤의 마법거울","알렉세이 트시칠린","618730",7.11,"애니메이션, 판타지",2014-12-24,"전체 관람가"
"264","우는 남자","이정범","603093",6.8,"액션, 드라마",2014-06-04,"청소년 관람불가"
